"","x"
"CELA3B",0.772210011222062
"CELA3A",0.831122085493018
"LINC00339",0.909236113721371
"CDC42",0.471351186144718
"RP1-224A6.9",0.680808052175
"WNT4",0.320468464096729
"ZBTB40",0.32032758175515
"C1QA",0.578168630318844
"C1QC",0.512189286367111
"C1QB",0.468498801480353
"EPHB2",0.720376536632944
"KDM1A",0.215021801437958
"LUZP1",0.509912303148612
"LINC01355",0.321898618456108
"HNRNPR",0.292907059042771
"ZNF436",0.649849763269315
"ZNF436-AS1",0.529281153082188
"RP5-1057J7.7",0.444104508883311
"TCEA3",0.27493333379021
"ASAP3",0.450620778102547
"ID3",0.598276812611725
"RPL11",0.416042819990569
"TCEB3",0.245718744837529
"TCEB3-AS1",0.624696263566135
"PITHD1",0.510007450779697
"LYPLA2",0.244701332650085
"GALE",0.350306286015681
"HMGCL",0.200645867267812
"FUCA1",0.411357530034291
"PNRC2",0.423777301434551
"SRSF10",0.414627105476434
"MYOM3",0.485732229509868
"IL22RA1",0.980678456236856
"IFNLR1",0.632995648853721
"GRHL3",0.861451842360665
"STPG1",0.644846990157691
"NIPAL3",0.389507272702662
"RCAN3",0.742695900770173
"NCMAP",0.754850010266572
"SRRM1",0.320699539729932
"CLIC4",0.367305960699981
"RUNX3",0.606176161996274
"SYF2",0.236684247688456
"RP3-465N24.6",0.754300095752412
"RP3-465N24.5",0.722001067895786
"RHD",0.697069974305402
"RSRP1",0.379128880843057
"TMEM50A",0.285377021883619
"RHCE",0.592066530786488
"TMEM57",0.464376292590306
"LDLRAP1",0.746051392421561
"RP11-70P17.1",0.654836273962892
"MAN1C1",0.244267156906636
"SEPN1",0.406865575949371
"RP1-317E23.3",0.630715778441684
"MTFR1L",0.272529122565202
"AUNIP",0.573795176361729
"PAQR7",0.775974943978031
"STMN1",0.627211096047288
"PAFAH2",0.540334147037502
"EXTL1",0.469181193516418
"SLC30A2",0.593078379000514
"TRIM63",0.237426976306427
"PDIK1L",0.497399027067851
"FAM110D",0.524702281583701
"RP11-96L14.7",0.735104214732358
"CNKSR1",0.413731930173568
"RP11-231P20.2",0.435476511484465
"CEP85",0.25909546987594
"SH3BGRL3",0.33284188578415
"CD52",0.804482647248337
"UBXN11",0.379359876472888
"DHDDS",0.273612988616184
"HMGN2",0.232909946447207
"RPS6KA1",0.543443708374709
"RP5-968P14.2",0.477966577692361
"ARID1A",0.428185504619698
"PIGV",0.61112562820235
"ZDHHC18",0.325095695823987
"SFN",0.768296810832554
"GPN2",0.271446843687793
"GPATCH3",0.312080825453281
"NUDC",0.338101208951313
"NR0B2",0.372512482185896
"TRNP1",0.57685401720148
"FAM46B",0.665358006705129
"SLC9A1",0.457506774747428
"NPM1P39",0.749549244193172
"WDTC1",0.271148681210628
"TMEM222",0.508484083373508
"ACTG1P20",0.816991153100783
"SYTL1",0.810675548827539
"MAP3K6",0.308956304004971
"FCN3",0.342705275742955
"GPR3",0.544884162134834
"WASF2",0.333132299924271
"AHDC1",0.500015410109364
"FGR",0.376956802411049
"RP1-159A19.3",0.811874783333692
"IFI6",0.478223645890857
"FAM76A",0.464470045334632
"STX12",0.280340770450182
"RP3-426I6.6",0.723767240365336
"PPP1R8",0.359603749017223
