"","source_variances"
"MFAP2",0.752544337983181
"ATP13A2",0.420719111639496
"SDHB",0.321093238114699
"PADI2",0.617832609998581
"PADI4",0.686265028087638
"RCC2",0.266859507207322
"ARHGEF10L",0.473119074871237
"IGSF21",0.581115171219116
"ALDH4A1",0.418657166002417
"IFFO2",0.640957145805642
"RP5-1126H10.2",0.461992777964115
"UBR4",0.249305157935113
"EMC1",0.402913229481999
"MRTO4",0.252120365993255
"AKR7L",0.588378671975942
"AKR7A3",0.366870268938229
"RP4-657E11.10",0.680528335759248
"AKR7A2",0.406346281254574
"PQLC2",0.325377030466668
"CAPZB",0.224936157127764
"MINOS1",0.403267268283184
"RP5-1056L3.3",0.623339781606437
"NBL1",0.254667576412729
"TMCO4",0.466057020991117
"OTUD3",0.649648317969405
"PLA2G2A",0.65276222051576
"PLA2G5",0.713299948568282
"UBXN10",0.579714805547714
"CAMK2N1",0.370487598347294
"MUL1",0.364816781060462
"FAM43B",0.572252916522419
"CDA",0.779189468179657
"PINK1",0.253805388073713
"PINK1-AS",0.574058596490426
"DDOST",0.275188250202732
"KIF17",0.635099138011228
"HP1BP3",0.239367559223002
"EIF4G3",0.492272967427691
"RP5-1071N3.1",0.775198006101793
"ECE1",0.43629975196904
"HS6ST1P1",0.832566657404715
"NBPF3",0.72982183804336
"ALPL",0.740861747161095
"RAP1GAP",0.417985663440336
"USP48",0.496940055274423
"LDLRAD2",0.479588336652827
"HSPG2",0.34824527193772
"CELA3B",0.240623186104493
"CELA3A",0.250857280170781
"LINC00339",0.501181568460188
"CDC42",0.195037289670673
"RP1-224A6.9",0.499246421792007
"WNT4",0.440220597952216
"ZBTB40",0.390496293141487
"C1QA",0.300474721525225
"C1QC",0.272752698740161
"C1QB",0.286419099903398
"EPHB2",0.550119547969617
"KDM1A",0.563025366685191
"LUZP1",0.319497739983355
"LINC01355",0.267757548892478
"HNRNPR",0.184416815487862
"ZNF436",0.632599227595263
"ZNF436-AS1",0.688156191005748
"RP5-1057J7.7",0.352157787228232
"TCEA3",0.189404347265105
"ASAP3",0.583276205489998
"ID3",0.537705862494273
"RPL11",0.46027402314568
"TCEB3",0.346713769601403
"TCEB3-AS1",0.514613489191764
"PITHD1",0.402531553588802
"LYPLA2",0.206086489811722
"GALE",0.499135629973536
"HMGCL",0.413017149658741
"FUCA1",0.302711893488623
"PNRC2",0.369129607197723
"SRSF10",0.246571845536579
"MYOM3",0.576844407147568
"IL22RA1",0.401519140974377
"IFNLR1",0.608346589192514
"GRHL3",0.830325522675786
"STPG1",0.65697144838313
"NIPAL3",0.649052030412982
"RCAN3",0.393757510094907
"NCMAP",0.397712413149719
"SRRM1",0.609967923219053
"CLIC4",0.396036226024981
"RUNX3",0.429103277789792
"SYF2",0.130412432666027
"RP3-465N24.6",0.780026691943398
"RP3-465N24.5",0.696057099209044
"RHD",0.727474113620527
"RSRP1",0.283196821811269
"TMEM50A",0.244872648143185
"RHCE",0.704501423956697
"TMEM57",0.146025038169595
"LDLRAP1",0.364511340033811
"RP11-70P17.1",0.521966193964888
"MAN1C1",0.515088701110676
"SEPN1",0.483479321012488
"RP1-317E23.3",0.711873070307789
"MTFR1L",0.343701304722217
"AUNIP",0.875115725882417
"PAQR7",0.54264648682336
"STMN1",0.490480308184659
"PAFAH2",0.362127160355266
"EXTL1",0.38389124793972
"SLC30A2",0.48498205831662
"TRIM63",0.808978719292446
"PDIK1L",0.369918806877418
"FAM110D",0.747675487035129
"RP11-96L14.7",0.8295339344328
"CNKSR1",0.332094803531456
"RP11-231P20.2",0.493948527633597
"CEP85",0.471453461631876
"SH3BGRL3",0.335990132610293
"CD52",0.403961549273955
"UBXN11",0.285974736922045
"DHDDS",0.29309121355025
"HMGN2",0.514592914028843
"RPS6KA1",0.319396754622032
"RP5-968P14.2",0.707739395124523
"ARID1A",0.511115260732485
"PIGV",0.290551900951255
"ZDHHC18",0.372407389108684
"SFN",0.758877834384996
"GPN2",0.521388958862896
"GPATCH3",0.413601126393663
"NUDC",0.388956185355434
"NR0B2",0.609124245046986
"TRNP1",0.309867741514234
"FAM46B",0.478930506552085
"SLC9A1",0.422998454255531
"NPM1P39",0.687902448616783
"WDTC1",0.411953131618949
"TMEM222",0.249952591146192
"ACTG1P20",0.844885087619543
"SYTL1",0.313312271727883
"MAP3K6",0.39360188190101
"FCN3",0.661864156592679
"GPR3",0.529979485868385
"WASF2",0.208948937136864
"AHDC1",0.354600852538421
"FGR",0.379210387907203
"RP1-159A19.3",0.851606921120383
"IFI6",0.448696952700393
"FAM76A",0.437028064968044
"STX12",0.205939287294843
"RP3-426I6.6",0.696204446759502
"PPP1R8",0.30854136288552
"THEMIS2",0.381170594033099
"RPA2",0.436225143391026
"XKR8",0.254743246198739
"EYA3",0.534610825801561
"SPCS2P4",0.684957659292749
"PTAFR",0.350082048114346
"DNAJC8",0.334042128757563
"ATPIF1",0.248569910293779
"RP5-1092A3.4",0.236912240270331
"SESN2",0.678845568337483
"MED18",0.368489929660838
"PHACTR4",0.478165448233352
"RCC1",0.281516644912523
"SNORA73B",0.458721881373527
"RP4-669K10.8",0.692037804741796
"TRNAU1AP",0.346330046293279
"SNORA61",0.417367028097819
"SNORA44",0.577276515745142
"SNHG12",0.366144302163269
"RAB42",0.394500377502397
"TAF12",0.258749749882957
"RP11-442N24__B.1",0.780149258436292
"GMEB1",0.500714044783693
"YTHDF2",0.393811631875353
"OPRD1",0.669237627698813
"EPB41",0.421636298202698
"TMEM200B",0.470628749143237
"uc_338",0.545619551817121
"SRSF4",0.381659098491122
"MECR",0.551467204746293
"PTPRU",0.407611082114557
"MATN1-AS1",0.561225915999503
"LAPTM5",0.211203827897241
"SDC3",0.344769891583793
"PUM1",0.376499240844371
"NKAIN1",0.64915555177262
"RP11-490K7.4",0.759514196360629
"SNRNP40",0.434310759120893
"ZCCHC17",0.5836818514656
"FABP3",0.774237811685894
"SERINC2",0.384943642738964
"TINAGL1",0.39187769921536
"RP11-73M7.6",0.51851744895723
"PEF1",0.441145316780906
"COL16A1",0.433531855601584
"ADGRB2",0.564213570689324
"PTP4A2",0.361879605069617
"KHDRBS1",0.17993274962342
"TMEM39B",0.48860302922359
"KPNA6",0.347497981461551
"TXLNA",0.240062714650515
"CCDC28B",0.401544632184591
"IQCC",0.482494343054898
"RP4-622L5.7",0.623731208282553
"EIF3I",0.146269408893876
"TMEM234",0.29540155737166
"MTMR9LP",0.340255479086435
"FAM167B",0.33555351371485
"LCK",0.496026782510951
"HDAC1",0.605821567373233
"MARCKSL1",0.412751331991703
"TSSK3",0.459360278956141
"FAM229A",0.402409591233284
"BSDC1",0.317682821182527
"ZBTB8A",0.665664915801957
"ZBTB8OS",0.400815093412557
"RBBP4",0.31416239779272
"SYNC",0.631887985948158
"KIAA1522",0.28995983033704
